linenumber,name,address_one,address_two,city,state,zip,amount,date,year
SB21,1199 Plaza Service Corporation,2120 First Avenue,,New York,NY,10029,100,10/19/07,2007
SB21,1199 Plaza Service Corporation,2120 First Avenue,,New York,NY,10029,100,12/27/07,2007
SB21,23rd Precinct Community Council,164 East 102nd Street,,New York,NY,10029,500,8/12/08,2008
SB21,25th Precinct Community Council,c/o 25th Precinct Community Affair,Unit 120 East,New York,NY,10035,500,8/12/08,2008
SB21,369th Veterans Association,The Armory,2366 Fifth Avenue,New York,NY,10037,400,9/14/05,2005
SB21,369th Veterans Association,The Armory,2366 Fifth Avenue,New York,NY,10037,100,1/31/06,2006
SB21,369th Veterans Association,The Armory,2366 Fifth Avenue,New York,NY,10037,100,3/28/06,2006
SB21,369th Veterans Association,The Armory,2366 Fifth Avenue,New York,NY,10037,5000,1/15/08,2008
SB21,369th Veterans Association,The Armory,2366 Fifth Avenue,New York,NY,10037,300,5/6/08,2008
SB21,"784th Tank Battalion Association, Inc.",309 W. 136th Street,,New York,NY,10030,1000,8/15/08,2008
SB21,A Better Chance,240 W. 35th Street,9th Floor,New York,NY,10001,250,9/11/08,2008
SB21,A. Phillip Randolph Tenants Association,251 West 114th Street,,New York,NY,10026,500,8/21/07,2007
SB21,Abyssinian Development Corporation,4 West 125th Street - Floor 3,,New York,NY,100274571,1000,3/23/09,2009
SB21,Addicts Rehabilitation Center,2015 Madison Ave,,New York,NY,100351015,900,1/9/07,2007
SB21,African Services Center,429 West 127th Street,,New York,NY,10027,5000,3/16/07,2007
SB21,African Services Center,429 West 127th Street,,New York,NY,10027,500,5/15/08,2008
SB21,"African Voices Communications, Inc.",Roy Wilkins Center,270 W. 96th Street,New York,NY,10025,500,3/19/09,2009
SB21,AfterDark CATV Pro,"1425 Bryant Avenue, Box 16",,Bronx,NY,10459,500,5/8/13,2013
SB21,"Alianza Dominicana, Inc.",2410 Amsterdam Avenue,,New York,NY,10033,1000,11/17/06,2006
SB21,"Alianza Dominicana, Inc.",2410 Amsterdam Avenue,,New York,NY,10033,5000,10/24/07,2007
SB21,"Alianza Dominicana, Inc.",2410 Amsterdam Avenue,,New York,NY,10033,1000,8/5/09,2009
SB21,Alliance Network,P. O. Box 1678,,Syracuse,NY,13201,250,6/3/08,2008
SB21,America-Israel Friendship League,134 E 39th St,,New York,NY,100160914,250,4/13/07,2007
SB21,America-Israel Friendship League,134 E 39th St,,New York,NY,100160914,500,12/4/08,2008
SB21,American Cancer Society,271 W 125th St,Ste 210,New York,NY,100274424,1000,4/3/06,2006
SB21,American Diabetes Associatioin,Attn: Regina T. Limchayseng,333 Seventh Avenue,New York,NY,10001,750,5/21/08,2008
SB21,American Latin Assoc of New York Inc.,922 Hoe Avenue,Suite 5B,Bronx,NY,10459,500,11/3/06,2006
SB21,Antioch Baptist Church,515 W. 125th Street,,New York,NY,10027,100,5/15/10,2010
SB21,Apollo Theater Development Department,253 West 125th Street,,New York,NY,10027,1000,5/12/06,2006
SB21,Apollo Theater Development Department,253 West 125th Street,,New York,NY,10027,9000,6/5/06,2006
SB21,"ARC Foundation, Inc.",57 E. 128th Street,,New York,NY,10035,5000,10/15/07,2007
SB21,"ARC Foundation, Inc.",57 E. 128th Street,,New York,NY,10035,250,10/31/08,2008
SB21,"Asociacion de Mujeres Progresistas, Inc.",703 W 180th St,Ste 24,New York,NY,100335604,300,6/15/05,2005
SB21,Asociacion Tepeyac De New York,East Harlem Community Center,115 East 106th Street,New York,NY,10029,500,7/18/05,2005
SB21,B.H.L. Celebration,P.O. Box 764,,South Orange,NJ,7079,250,8/10/07,2007
SB21,Baptist Ministers Conference of New York,c/o Convent Avenue Baptist Church,420 West 145th S,New York,NY,10031,1000,1/24/08,2008
SB21,Bethaany Baptist Church,303 W 133rd St,,New York,NY,100302720,375,4/13/07,2007
